Event	ID	Name			Wwise Object Path	Notes
	85412153	Ambience			\Default Work Unit\Ambience	
	1059993718	Shovel_Take			\Default Work Unit\Shovel_Take	
	1831829655	Book_Pages			\Default Work Unit\Book_Pages	
	2012276773	Jump_Trampoline			\Default Work Unit\Jump_Trampoline	
	2043534011	Camera_Zoom_Out			\Default Work Unit\Camera_Zoom_Out	
	2053301760	Shovel_Digging			\Default Work Unit\Shovel_Digging	
	2118900976	UI_Hover			\Default Work Unit\UI_Hover	
	2364952868	Photo_Quest			\Default Work Unit\Photo_Quest	
	2382194672	UI_Play			\Default Work Unit\UI_Play	
	2385628198	Footsteps			\Default Work Unit\Footsteps	
	2766569724	Camera_Zoom_In			\Default Work Unit\Camera_Zoom_In	
	3882419280	Trees			\Default Work Unit\Trees	
	3991942870	Music			\Default Work Unit\Music	
	4068392799	Photo_Random			\Default Work Unit\Photo_Random	

Switch Group	ID	Name			Wwise Object Path	Notes
	4064446173	Surface_Type			\Default Work Unit\Surface_Type	

Switch	ID	Name	Switch Group			Notes
	803837735	Sand	Surface_Type			
	2144363834	Rock	Surface_Type			
	2195636714	Dirt	Surface_Type			
	4248645337	Grass	Surface_Type			

State Group	ID	Name			Wwise Object Path	Notes
	3991942870	Music			\Default Work Unit\Music	

State	ID	Name	State Group			Notes
	89505537	Gameplay	Music			
	748895195	None	Music			
	2607556080	Menu	Music			
	3711779106	Time_Capsule	Music			

Custom State	ID	Name	State Group	Owner		Notes
	496033121	Gameplay	Music	\Interactive Music Hierarchy\Default Work Unit\Music Switch\Menu		
	836524603	Menu	Music	\Interactive Music Hierarchy\Default Work Unit\Music Switch\Gameplay		

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	29674287	FLY_Sand_Step_09	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Sand_Steps\FLY_Sand_Step_09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Sand_Steps\FLY_Sand_Step_09		40064
	29935779	SFX_Photo_02	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Photo Taking\SFX_Photo_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Photo_Snap\SFX_Photo_02		88264
	57088348	SFX_Trampoline_Jump_03	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Trampoline Jumps\SFX_Trampoline_Jump_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Trampoline Jump\SFX_Trampoline_Jump_03		136064
	65110934	FLY_Gravel_Step_07	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Dirt_Steps\FLY_Gravel_Step_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt_Steps\FLY_Gravel_Step_07		53384
	82799580	SFX_Shovel_Take_01	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Shovel\SFX_Shovel_Take_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Shovel_Take\SFX_Shovel_Take_01		89300
	84549223	FLY_Gravel_Step_011	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Dirt_Steps\FLY_Gravel_Step_011_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt_Steps\FLY_Gravel_Step_011		44752
	93879239	SFX_Trampoline_Jump_02	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Trampoline Jumps\SFX_Trampoline_Jump_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Trampoline Jump\SFX_Trampoline_Jump_02		136064
	102271720	AMB_Insects_Layer_00	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\AMB_Insects_Layer_00_7A5DAA70.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambience\AMB_Insects_Layer_00		15982528
	119955333	FLY_Gravel_Step_02	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Dirt_Steps\FLY_Gravel_Step_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt_Steps\FLY_Gravel_Step_02		66848
	125003833	FLY_Sand_Step_11	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Sand_Steps\FLY_Sand_Step_11_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Sand_Steps\FLY_Sand_Step_11		32064
	126864694	FLY_Sand_Step_00	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Sand_Steps\FLY_Sand_Step_00_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Sand_Steps\FLY_Sand_Step_00		52064
	171663630	FLY_Book_Pages_04	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Book_Pages\FLY_Book_Pages_04_39E69988.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Book_Pages\FLY_Book_Pages_04		226812
	189311739	SFX_Trampoline_Jump_10	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Trampoline Jumps\SFX_Trampoline_Jump_10_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Trampoline Jump\SFX_Trampoline_Jump_10		128064
	190187066	SFX_Shovel_Dig_00	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Shovel\SFX_Shovel_Dig_00_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Shovel_Dig\SFX_Shovel_Dig_00		154416
	215962258	SFX_Photo_03	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Photo Taking\SFX_Photo_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Photo_Snap\SFX_Photo_03		88264
	228064426	FLY_Rock_Step_05	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Rock_Steps\FLY_Rock_Step_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Rock_Steps\FLY_Rock_Step_05		45256
	237044875	SFX_Shovel_Take_00	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Shovel\SFX_Shovel_Take_00_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Shovel_Take\SFX_Shovel_Take_00		77240
	271594297	SFX_Camera_Zoom_In_00	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Photo Taking\SFX_Camera_Zoom_In_00_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\SFX_Camera_Zoom_In_00		89500
	275629212	SFX_Successful_Photo_01	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Photo Taking\SFX_Successful_Photo_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\SFX_Successful_Photo_01		744512
	279262114	SFX_Trampoline_Jump_12	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Trampoline Jumps\SFX_Trampoline_Jump_12_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Trampoline Jump\SFX_Trampoline_Jump_12		136064
	282746718	FLY_Gravel_Step_09	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Dirt_Steps\FLY_Gravel_Step_09_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt_Steps\FLY_Gravel_Step_09		79932
	301917649	MUS_Time_Capsule	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\MUS_Time_Capsule_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Music Switch\Time_Capsule\MUS_Time_Capsule\MUS_Time_Capsule		7526464
	328000929	SFX_Shovel_Dig_01	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Shovel\SFX_Shovel_Dig_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Interactions\Shovel_Dig\SFX_Shovel_Dig_01		154416
	331960533	FLY_Grass_Step_07	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Grass_Steps\FLY_Grass_Step_07_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Grass_Steps\FLY_Grass_Step_07		45224
	338052932	FLY_Gravel_Step_03	D:\GGJ-UK-2022\GGJ-UK-2022_WwiseProject\.cache\Windows\SFX\Footsteps\Dirt_Steps\FLY_Gravel_Step_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Footsteps\Dirt_Steps\FLY_Gravel_Step_03		50460
